candidate_number,split,candidate_group,video_id,video_path,rep_index,start_frame,bottom_frame,end_frame,rep_row_count,ranking_score,camera_shoulder_median,camera_hip_median,review_label,review_confidence,review_notes
61,validation,high,46725_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46725_1.mp4,0,6,48,102,16,44.79205894470215,0.5641086101531982,0.36007875204086304,clear,high,Motion review: torso remained controlled and hips and chest rose together.
62,validation,high,36808_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36808_1.mp4,0,0,30,66,12,42.842220592498784,0.3576648235321045,0.2309992015361786,excessive_forward_lean,high,Clear chest-down position through bottom and the sticking region.
63,validation,high,33868_1,/Users/josephkamil/Desktop/Capstone/videos/videos/33868_1.mp4,0,0,60,96,16,42.18050932884216,0.22393402457237244,0.14787811040878296,clear,high,Motion review: normal torso inclination with no dynamic chest collapse.
64,validation,high,50214_1,/Users/josephkamil/Desktop/Capstone/videos/videos/50214_1.mp4,0,6,54,108,16,40.92687330245972,0.3928322196006775,0.2619127631187439,clear,high,Motion review: torso angle remained stable and the rep looked controlled.
65,validation,high,46217_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46217_1.mp4,0,12,36,138,21,40.15000896453857,0.467813104391098,0.3081844449043274,excessive_forward_lean,medium,Forward torso pitch appears pronounced and persists into ascent.
66,validation,high,47234_2,/Users/josephkamil/Desktop/Capstone/videos/videos/47234_2.mp4,0,54,168,276,38,39.77424840927124,0.3248286247253418,0.15255485475063324,unusable,high,"Spotter and equipment obscure the lifter, and the detected interval is unusually long."
67,validation,high,50762_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50762_2.mp4,0,54,84,132,13,38.81261076927185,0.30491703748703003,0.16776303946971893,unusable,high,Spotter blocks key torso and hip landmarks through most phases.
68,validation,high,47487_2,/Users/josephkamil/Desktop/Capstone/videos/videos/47487_2.mp4,0,0,42,108,17,36.74146871566772,0.2685355842113495,0.1649595946073532,excessive_forward_lean,high,Very pronounced forward torso position at bottom and during early ascent.
69,validation,high,47672_4,/Users/josephkamil/Desktop/Capstone/videos/videos/47672_4.mp4,0,12,36,72,11,35.46818027496338,0.4721229076385498,0.28224021196365356,clear,medium,Torso remains relatively stable without an obvious chest-drop pattern.
70,validation,high,49364_3,/Users/josephkamil/Desktop/Capstone/videos/videos/49364_3.mp4,0,6,36,66,11,35.31309146881103,0.4432600736618042,0.3343695104122162,uncertain,medium,Distant framing and partial obstruction make the degree of lean difficult to judge.
71,validation,middle,49891_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49891_1.mp4,0,0,30,90,16,32.97021040916443,0.4557608366012573,0.2589963376522064,excessive_forward_lean,medium,Torso appears substantially forward at bottom and stays inclined into ascent.
72,validation,middle,50300_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50300_2.mp4,0,6,36,78,12,32.76950116157531,0.4885046184062958,0.2830904424190521,excessive_forward_lean,high,Clear forward torso pitch through bottom and the sticking region.
